ID_Muestra,Sitio_Proyecto,Grava_pct,Arena_pct,Limo_pct,Arcilla_pct,Humedad_pct,Limite_Liquido,Indice_Plasticidad,Capacidad_Carga_kNm2,Cohesion_kPa,Angulo_Friccion_deg,pH_Suelo,Sulfatos_ppm,Prof_Nivel_Freatico_m,Clasificacion_Target
76,Chubut,"29,16","31,39","26,76","12,69","5,82","42,55","36,19","279,42","26,24","35,25","6,74","424,31","4,93",No Apto
77,Neuquén,"30,85","29,22","10,97","28,96","17,11","37,08","22,7","281,84","45,52","34,94","7,5","1452,51","11,83",Apto
78,Neuquén,"2,96","43,98","16,28","36,77","34,81","24,67","7,7","199,8","59,08","33,79","7,94","579,52","5,81",No Apto
79,Chubut,"14,34","20,91","29,62","35,12","10,25","32,04","15,72","199,18","54,83","29,14","7,87","666,62",4,No Apto
80,Misiones,"4,63","57,5","24,3","13,57","25,18","53,71","27,95","233,52","30,44","38,18","6,82","1697,69","10,25",No Apto
81,Misiones,"34,52","49,32","5,68","10,48","10,2","41,31","13,37","336,72","17,25","41,7","7,53","978,83","3,35",Apto
82,Neuquén,"24,93","14,47","6,63","53,97","26,74","37,58","14,82","228,66","80,73","29,33","8,18","1356,02","13,49",Apto
83,Mendoza,"13,24","30,88","16,6","39,29","20,16","52,32","33,72","214,72","53,54","31,91","6,04","834,63","2,03",No Apto
84,Tucumán,"2,54","53,96","27,73","15,77","25,4","38,46","25,45","218,08","25,6","36,7","7,09","631,11","10,74",No Apto
85,Neuquén,"12,44","57,24","18,47","11,86","11,09","36,04","22,8","264,24","25,59","39,66","6,56","1269,68","7,74",Apto
86,Mendoza,"13,01","33,37","17,45","36,18","27,37","45,37","16,15","218,78","54,93","32,61","6,97","351,97","13,11",No Apto
87,Rosario,"29,18","40,67","7,64","22,51","34,87","43,51","30,58","298,06","31,65","38,04","7,04","777,35","2,33",No Apto
88,Mendoza,"25,5","18,35","21,42","34,73","24,97","22,73","15,07","238,7","50,81","30,6","7,87","457,62","10,33",Apto
89,Rosario,"35,49","59,56","25,55",5,"19,8","33,85","30,8","361,08","23,44","44,97","6,23","1406,8","8,79",No Apto
90,Córdoba Capital,"18,89","21,58","14,51","45,02","32,7","33,9","7,45","218,72","56,68","30,25","7,28","1891,21","7,46",No Apto
91,Salta,"4,78","57,14","24,39","13,69","5,48","30,13","35,26","233,4","33,85","38,1","7,41","1991,25","7,63",No Apto
92,Córdoba Capital,"28,53","42,48","29,11",5,"26,9","35,69","22,48","299,08","14,79","38,45","7,24","928,04","10,97",Apto
93,Neuquén,"30,43","40,39","10,09","19,09","31,66","31,52","20,35","302,5","21,22","38,2","7,83","542,43","14,1",Apto
94,Rosario,"22,45","35,63","18,08","23,83","6,85","22,97","26,39","261,06","31,76","35,18","6,96","913,52","1,82",No Apto
95,Neuquén,"30,84","21,53","12,18","35,45","18,5","31,49","26,85","266,42","47,72","32,63","8,36","1702,18","0,78",No Apto
96,Chubut,"19,75","18,83","24,82","36,6","11,14","17,89","9,62","216,66","50,8","29,6","7,2","451,71","12,18",No Apto
97,Tucumán,"20,91","21,02","19,44","38,63",22,"38,03","31,47","225,68","55,83","30,49","7,43","1906,59","2,07",No Apto
98,Buenos Aires (CABA),"17,1","19,32","20,86","42,71","24,49","49,15","14,66","207,04","47,73","29,22","8,06","716,64","14,81",No Apto
99,Neuquén,"1,02","48,98","24,95","25,06","14,08","44,01","36,67","202,04","41,01","34,9","6,69","1972,32","9,48",No Apto
100,Tucumán,"4,32","27,51","14,9","53,28","18,8","29,42","33,62","172,3","68,66","29,12","6,19","1685,29","9,94",No Apto
101,Mendoza,"1,26","12,89","27,88","57,97","13,38","18,48","17,12","130,82","86,52","24,12","7,77","1626,71","3,38",No Apto
102,Córdoba Capital,"25,46","58,46","18,33",5,"16,08","23,09","33,27","318,76","14,65","42,63","7,21","669,91","3,98",No Apto
103,Mendoza,"12,57","54,19","8,95","24,29","9,79","36,82","17,47","258,66","43,86","38,77","8,24","67,12","10,06",Apto
104,Buenos Aires (CABA),"20,34","56,39","22,4",5,"31,57","23,28","8,53","294,14","21,55","40,98","8,46","795,16","13,69",Apto
105,Rosario,"36,3","59,75","24,83",5,"5,3","36,76","38,67","364,7","21,42",45,7,"638,53","14,74",No Apto
106,Chubut,"9,97","18,69","12,92","58,41","31,47","24,26","27,84","177,26","77,26","27,6","7,04","122,92","3,37",No Apto
107,Tucumán,"16,42","29,81","26,43","27,34","22,15","48,96","20,96","225,3","39,91","32,23","7,02","1035,46","2,44",Apto
108,Chubut,"30,22","47,91","27,65",5,"14,95","30,89","18,92","316,7","14,88","40,42","6,81","835,91","1,32",Apto
109,Salta,"9,15","44,8","11,92","34,12","26,69","24,82","16,36","226,2","54,13","35,27","7,95","1287,39","13,09",Apto
110,Neuquén,"3,08","17,69","29,59","49,64","20,23","47,49","39,35","147,7","67,01","25,92","7,9","1261,31","4,77",No Apto
111,Rosario,"11,59","50,79","8,52","29,1","19,97","28,71","9,72","247,94","44,32","37,56","7,2","285,46","0,53",Apto
112,Salta,"6,45","21,22","10,05","62,28","8,3","19,46","16,02","168,24","86,1","27,66","6,11","1955,08","3,75",No Apto
113,San Juan,"37,19","21,19","9,61","32,02","16,69","37,82","21,99","291,14","43,9","33,8","6,77","414,52","5,44",Apto
114,Neuquén,"32,32","36,85","27,35",5,"12,23","38,26","21,73","302,98","11,16","37,52","6,73","918,28","14,87",Apto
115,Mendoza,"25,34","39,65","21,36","13,66","5,47","43,59","21,5","280,66","25,6","36,96","8,03","1001,83","8,09",Apto
116,Córdoba Capital,"34,86",39,"8,8","17,33","15,8","24,61","11,15","317,44","30,67","38,67","6,22","1635,47","3,47",Apto
117,Tucumán,"32,15","14,57","16,01","37,27","7,69","32,75","10,07","257,74","56,89","30,8","8,01","243,5","5,35",Apto
118,Buenos Aires (CABA),"7,46","53,87","20,38","18,28","12,7","26,29","13,92","237,58","35,3","37,65","7,67","885,86","5,29",Apto
119,Buenos Aires (CABA),"35,7","23,28","7,09","33,93","7,78","18,24","37,01","289,36","45,22","34,12","7,83","1275,58","0,79",No Apto
120,Mendoza,"21,57","16,48","27,06","34,89","8,03","50,06","8,96","219,24","47,81","29,26","7,08","469,55","2,46",No Apto
121,Misiones,"32,3","54,44","25,09",5,"10,97","44,15","31,51","338,08","11,15","42,79","7,7","1273,56","10,58",No Apto
122,Buenos Aires (CABA),"35,84","57,78","17,63",5,35,"27,06","31,51","358,92","23,06","44,5","7,52","1851,15","2,24",No Apto
123,Tucumán,"12,72","53,11","29,18",5,"5,07","38,97","33,34","257,1","15,4","38,48","7,92","1995,16","3,85",No Apto
124,Mendoza,"4,4","50,48","15,44","29,68","24,16","23,05","36,03","218,56","45,7","36,02","7,12","113,28","5,59",No Apto
125,Rosario,"9,12","42,76","29,6","18,52","9,24","50,61","14,21",222,"32,51","34,65","7,18","509,4","11,49",Apto
126,Buenos Aires (CABA),"17,08","37,54","21,7","23,67","32,62","19,6","12,86","243,4","34,83","34,68","7,61","655,1","8,94",Apto
127,Chubut,"32,72","14,35","20,87","32,06","7,81","15,15","21,29","259,58","56,29","30,85","6,27","828,3","10,49",Apto
128,Mendoza,"34,43","30,42","9,15",26,"33,65","35,08","14,28","298,56","43,26","36,01","7,09","522,4","8,72",Apto
129,Tucumán,"0,28","28,63","27,05","44,04","23,33","38,33","30,7","158,38","63,05","28,64","8,43","446,8","10,41",No Apto
130,Chubut,"20,43","22,99","15,69","40,9","5,04","38,16","27,26","227,7","53,55","30,98","6,09","1911,38","0,54",No Apto
131,Neuquén,"16,7","46,17","9,06","28,08","31,82","17,18","35,62","259,14","37,89","37,19","6,79","1841,12",14,No Apto
132,Neuquén,"8,88","34,79","5,32","51,01","20,65","27,56","7,9","205,1","69,67","32,21","6,79","141,64","2,11",No Apto
133,Buenos Aires (CABA),"4,79","14,05","18,99","62,16","12,88","34,97","37,03","147,26","81,09","25,17","7,58","710,69","6,39",No Apto
134,Chubut,"13,5","21,01","18,18","47,3","28,02","23,66","15,27","196,02","61,42",29,"6,26","840,04","11,68",No Apto
135,Córdoba Capital,"37,72","44,16","22,98",5,"32,8","49,91","22,17","339,2","14,15","40,79","7,57","516,08","6,81",Apto
136,Neuquén,"12,93","13,81","27,26","46,01","19,51","18,48","20,35","179,34","64,13","26,73","6,24","1276,3","14,23",No Apto
137,Córdoba Capital,"20,75","52,56","6,99","19,7","14,47","34,5","31,61","288,12","34,35","39,92","6,24","1298,74","7,28",No Apto
138,Rosario,"28,12","34,76","23,29","13,83","28,67","42,66","19,71",282,"24,08","36,05","7,82","1708,48","13,19",Apto
139,Mendoza,"14,55","34,03","9,69","41,74","25,45","25,47","38,02","226,26","55,05","33,12","6,81","1494,7","12,26",No Apto
140,Salta,"38,87","39,62","26,45",5,"31,66","39,97","36,59","334,72","11,14","39,66","8,44","1108,02","14,72",No Apto
141,Tucumán,"38,5","51,23","25,48",5,"25,78","48,18","35,53","356,46","22,06","43,07","6,09","1324,49","13,93",No Apto
142,Mendoza,"10,07","27,39","18,52","44,02","12,31","22,61","7,49","195,06","56,57","30,23","7,11","584,28","13,52",No Apto
143,Tucumán,"19,89","43,9","22,76","13,45","32,95","51,69","34,9","267,36","27,96","37,15","6,28","1206,46","11,11",No Apto
144,Chubut,"12,04","38,29","12,86","36,82","8,15","37,14","32,36","224,74","56,78","33,89","6,88","1003,99","5,82",No Apto
145,Rosario,"11,39","23,35","16,78","48,48","13,04","26,97","8,62","192,26","67,57","29,28","8,5","310,02","2,04",No Apto
146,San Juan,"1,48","53,93","25,54","19,05","20,61","32,23","8,76","213,78","41,7","36,47","8,22","522,96","10,49",No Apto
147,Buenos Aires (CABA),"24,38","49,87","16,48","9,26","21,97","27,49","8,54","297,26","23,62","39,84","6,12","618,8","14,69",Apto
148,Tucumán,"20,11","42,92","13,94","23,03","5,46",44,"5,4","266,28","46,85","36,9","7,41","1852,4","11,04",Apto
149,Tucumán,"2,06","52,53","17,36","28,06","28,42","46,85","24,2","213,3","40,42","36,17","7,62","499,25","13,97",No Apto
150,Chubut,"11,15","53,36","25,71","9,78","15,85","48,32","39,07","251,32","18,57","38,24","6,52","614,03","12,16",No Apto
151,Córdoba Capital,"36,33","45,42","13,38",5,"17,19","54,43","20,35","336,16","18,64","40,89","6,36","770,24","2,87",Apto
152,Mendoza,"9,58","51,85","9,34","29,22","29,28","46,65","23,93","242,02","43,76","37,47","8,26","1344,3","4,11",Apto
153,San Juan,"5,8","44,87","22,8","26,53","16,38","39,06","38,88","212,94","50,26","34,62","8,42","280,56","5,46",No Apto
154,Misiones,"19,58","44,01","25,65","10,77","6,42","28,57","13,93","266,34","24,63","37,12","8,48","1910,19","2,94",Apto
155,Buenos Aires (CABA),"39,43","40,93","7,52","12,13","10,29","36,78","35,05","339,58","19,33","40,16","7,97","1737,86","8,93",No Apto
156,Salta,"9,68","47,64",11,"31,69","33,68","16,64","24,12",234,"39,34","36,23","7,66","1175,57","14,64",Apto
157,Misiones,"26,89","17,93","8,55","46,64","7,11","44,79","24,93","243,42","65,58","30,76","6,86","1364,37","11,54",Apto
158,Mendoza,"30,46","54,04","13,7",5,"15,65","32,84","17,01","329,92","15,55","42,3","6,43","82,49","6,64",Apto
159,Buenos Aires (CABA),"9,51","53,59","16,26","20,64","20,1","15,8","24,66","245,22","36,34","37,98","6,2","710,94","0,57",Apto
160,Tucumán,"29,13","11,46","23,72","35,69","19,8","17,5","7,56","239,44","58,88","29,26","7,73","1601,54","5,04",Apto
161,Salta,"14,71","51,29","21,28","12,72","5,12","30,5","31,76","261,42","30,66","38,33","7,96","201,09","8,14",No Apto
162,Córdoba Capital,"25,29","16,44","20,52","37,74","20,03","38,34","14,96","234,04","52,39","29,99","8,07","600,51","5,2",Apto
163,San Juan,"25,34","26,76","13,81","34,09","16,51","33,57","36,07","254,88","44,44","33,1","8,28","1191,33","2,11",No Apto
164,Córdoba Capital,"21,43","47,18","26,04","5,36","34,16","39,77","17,87","280,08","10,26","38,44","8,2","550,01","6,92",Apto
165,Rosario,"3,61","18,04","16,78","61,57","9,77","34,21",10,"150,52","80,2","26,13","8,5","1871,26","4,17",No Apto
166,Chubut,"33,41","50,9","29,48",5,"15,62","41,47","29,36","335,44","14,17","41,95","6,61","305,56","13,68",No Apto
167,Buenos Aires (CABA),"12,83","51,61","20,85","14,71","17,58","23,77","10,76","254,54","29,18","38,05","7,91","1604,92","1,98",Apto
168,Córdoba Capital,"7,46","35,37","8,16","49,01","16,72","19,51","31,38","200,58","64,81","32,1","7,47","1040,5","1,21",No Apto
169,Misiones,"1,63","10,32","21,9","66,15","24,97","38,86","38,88","127,16","90,78","23,42","6,65","1513,15","0,58",No Apto
170,Chubut,"23,64","24,35","13,13","38,88","11,47","34,39","32,28","243,26","58,47","32,03","8,45","655,89","5,26",No Apto
171,Córdoba Capital,"27,1","40,85","22,16","9,89","11,63","16,07","5,79","290,1","22,58","37,67","8,24","1053,25","10,08",Apto
172,Neuquén,"0,66","59,06","6,74","33,54","26,88","30,22",26,"220,76","44,6","37,85","6,32","1720,83","11,09",No Apto
173,Rosario,"20,48","41,59","9,37","28,55","20,01","19,25","29,34","265,1","46,6","36,57","6,07","960,41","7,07",No Apto
174,Mendoza,"9,06","22,99","26,39","41,56","17,45","36,25","33,89","182,22","70,28","28,71","7,72","751,45","10,42",No Apto
175,San Juan,"25,81","41,7","10,68","21,81","10,08","30,83","6,96","286,64","37,4","37,67","7,51","1095,5","5,72",Apto
176,Rosario,"6,97",37,"25,93","30,1","10,63","39,53","21,8","201,88","31,35","32,49","8,34","1448,86","10,18",No Apto
177,Chubut,"27,64","48,99","11,98","11,39","5,32","47,22","23,74","308,54","29,87","40,22","6,59","914,95","1,09",Apto
178,Neuquén,"15,47","15,35","21,07","48,11","7,74","26,99","10,92","192,58","64,22","27,7","6,21","1880,81","6,17",No Apto
179,Buenos Aires (CABA),"37,47","48,05","22,35",5,"21,71","53,48","16,29","345,98","27,33","41,91","6,65","625,14","11,97",Apto
180,Misiones,"5,5","37,06","17,82","39,62","31,76","36,43","20,41","196,12","58,13","32,22","6,05","977,15","12,14",No Apto
181,San Juan,"13,64","58,15","12,63","15,57","13,61","39,73","34,16","270,86","20,26","40,17","6,09","1526,01","10,88",No Apto
182,San Juan,"4,54","27,09","10,32","58,05","14,83","42,23","37,53","172,34","69,34","29,03","8,29","1393,79","3,46",No Apto
183,Rosario,"36,99","41,63","5,83","15,55","8,47","41,67","26,99","331,22","36,36","39,89","6,88","1734,1","4,08",No Apto
184,Chubut,"35,09","56,6","12,6",5,"16,66","35,44","18,82","353,56","21,53",44,"7,03","1993,78","14,94",Apto
185,Buenos Aires (CABA),"10,32","15,13","21,33","53,23","6,12","32,15","13,89","171,54","85,01","26,6","6,05","882,37",2,No Apto
186,Tucumán,"26,4","56,86","28,46",5,"32,53","17,15","39,37","319,32","16,05","42,34","6,68","266,74","3,12",No Apto
187,Neuquén,"32,69","44,39","26,78",5,"25,19","15,88","39,41","319,54","15,72","39,86","8,01","109,31","2,39",No Apto
188,Tucumán,"22,21","13,39","24,15","40,25","34,72","29,32","37,37","215,62","56,39","28,46","7,54","1467,41","5,25",No Apto
189,Misiones,"21,19","25,05","24,71","29,05","31,48","28,35","32,5","234,86","41,57","31,75","7,88","1754,33","3,55",No Apto
190,Buenos Aires (CABA),"9,67","45,41","21,62","23,29","19,19","30,51","16,4","229,5","35,99","35,56","7,12","480,39","7,72",Apto
191,Buenos Aires (CABA),"3,72","13,37","11,51","71,4","20,59","20,53","33,6","141,62","96,77","24,76","6,77","358,97","7,4",No Apto
192,Neuquén,"35,89","39,11","27,68",5,"10,72","44,53","19,31","321,78","11,78","38,91","7,21","171,3","13,57",Apto
193,Salta,"36,02","27,29","21,77","14,92","18,86","49,28","16,44","298,66","19,56","35,39","6,81","1654,27",1,Apto
194,Tucumán,"25,32","41,05","19,01","14,62","32,09","52,55","31,07","283,38","28,34","37,38","8,1","657,19","5,14",No Apto
195,Córdoba Capital,"13,56","12,29","7,77","66,38","6,53","34,69","7,79","178,82","85,33","26,4","6,74","833,31","9,15",No Apto
196,San Juan,"13,97","53,58","16,18","16,28","30,91","43,03","6,7","263,04","13,34","38,87","7,65","1030,36","9,27",Apto
197,Salta,"29,04","58,67","16,51",5,"15,23","49,22","20,68","333,5","18,76","43,41","6,34","1686,93","7,46",Apto
198,Córdoba Capital,"35,88","58,44","26,61",5,"31,99","31,73","20,6","360,4","10,46","44,71","7,72","1319,12","12,33",Apto
199,Chubut,"35,48","47,48","18,67",5,"33,23","27,38","36,35","336,88","19,31","41,34","8,28","1249,38","1,41",No Apto
200,Neuquén,"31,2","16,5","14,51","37,79","25,13","52,47","9,42","257,8","58,54","31,19","7,52","392,56","12,32",Apto
201,Chubut,"25,68","47,91","29,42",5,"24,93","35,63","9,31","298,54","17,42","39,51","7,4","1050,72","7,67",Apto
202,San Juan,"3,37","11,23","7,77","77,64","18,58","34,89","10,16","135,94","115,65","24,04","8,4","1444,99","2,44",No Apto
203,Mendoza,"6,47","11,11","15,56","66,86","30,07","22,14","6,04","148,1","89,54","24,63","7,57","1947,86","13,34",No Apto
204,Córdoba Capital,"35,94","26,18","6,05","31,83","33,85","19,33","7,51","296,12","46,77","35,04","6,65","442,74","9,91",Apto
205,Salta,"24,26","34,43","23,5","17,81","28,25","48,68","28,1","265,9","34,79","35,18","6,73","68,61","2,87",No Apto
206,Córdoba Capital,"0,37","48,52","27,95","23,16","23,66","39,57","20,11","198,52","37,51","34,63","7,76","196,84","0,99",No Apto
